n_hgnc_symbol	mt_hgnc_symbol	n_start_numt	n_end_numt	mt_start_numt	mt_end_numt	n_leng	mt_leng	ov	percent_n	percent_mt
NA	MT-TW	702400000	702400609	702400000	702400066	609	66	66	0.108374384236453	1
NA	MT-TA	702400000	702400609	702400074	702400142	609	68	68	0.111658456486043	1
NA	MT-TN	702400000	702400609	702400144	702400216	609	72	72	0.118226600985222	1
NA	MT-TC	702400000	702400609	702400248	702400313	609	65	65	0.106732348111658	1
NA	MT-TY	702400000	702400609	702400313	702400378	609	65	65	0.106732348111658	1
NA	MT-CO1	702400000	702400609	702400391	702401932	609	1541	218	0.357963875205255	0.141466580142764
MTND5P8	MT-ND5	702700001	702701083	702700000	702701083	1082	1083	1082	1	0.999076638965836
NA	MT-ND6	702701087	702701604	702701084	702701608	517	524	517	1	0.986641221374046
NA	MT-CYB	702701678	702702783	702701682	702702822	1105	1140	1101	0.996380090497738	0.965789473684211
MTND4P6	MT-ND4	7.03e+08	703000454	7.03e+08	703001089	454	1089	454	1	0.416896235078053
NA	MT-CYB	703100000	703100135	703100000	703100309	135	309	135	1	0.436893203883495
NA	MT-ND5	703400000	703400172	703400000	703401586	172	1586	172	1	0.108448928121059
NA	MT-TL1	703500000	703500722	703500000	703500012	722	12	12	0.0166204986149584	1
NA	MT-ND1	703500000	703500722	703500015	703500970	722	955	707	0.979224376731302	0.740314136125654
MTND2P5	MT-TM	703501145	703502150	703501110	703501177	1005	67	32	0.0318407960199005	0.477611940298507
MTND2P5	MT-ND2	703501145	703502150	703501178	703502219	1005	1041	972	0.967164179104478	0.93371757925072
MTND1P3	MT-TN	703502364	703503315	703502365	703502437	951	72	72	0.0757097791798107	1
MTND1P3	MT-TC	703502364	703503315	703502469	703502534	951	65	65	0.0683491062039958	1
MTND1P3	MT-TY	703502364	703503315	703502534	703502599	951	65	65	0.0683491062039958	1
MTND1P3	MT-CO1	703502364	703503315	703502612	703504153	951	1541	703	0.739221871713985	0.45619727449708
MTRNR2L6	MT-TV	703801092	703802538	703801025	703801093	1446	68	1	0.000691562932226833	0.0147058823529412
MTRNR2L6	MT-RNR2	703801092	703802538	703801094	703802652	1446	1558	1444	0.998616874135546	0.926829268292683
NA	MT-ND6	704300002	704300163	704300000	704300340	161	340	161	1	0.473529411764706
MTND4P7	MT-ND4	800100004	800100133	800100000	800101073	129	1073	129	1	0.12022367194781
NA	MT-ND3	800300008	800300289	800300000	800300072	281	72	64	0.227758007117438	0.888888888888889
NA	MT-TR	800300008	800300289	800300073	800300137	281	64	64	0.227758007117438	1
NA	MT-ND4L	800300008	800300289	800300138	800300434	281	296	151	0.537366548042705	0.510135135135135
NA	MT-ATP6	800500005	800500209	800500000	800500541	204	541	204	1	0.377079482439926
NA	MT-ND6	800700000	800700250	800700000	800700150	250	150	150	0.6	1
NA	MT-TE	800700000	800700250	800700151	800700219	250	68	68	0.272	1
NA	MT-CYB	800700000	800700250	800700224	800701364	250	1140	26	0.104	0.0228070175438597
NA	MT-CYB	800700321	800700470	800700224	800701364	149	1140	149	1	0.130701754385965
MTND1P6	MT-RNR2	801102631	801103576	801101090	801102648	945	1558	17	0.017989417989418	0.0109114249037227
MTND1P6	MT-TL1	801102631	801103576	801102649	801102723	945	74	74	0.0783068783068783	1
MTND1P6	MT-ND1	801102631	801103576	801102726	801103681	945	955	850	0.899470899470899	0.890052356020942
MTND2P32	MT-TQ	801103811	801105593	801103748	801103819	1782	71	8	0.00448933782267116	0.112676056338028
MTND2P32	MT-TM	801103811	801105593	801103821	801103888	1782	67	67	0.0375982042648709	1
MTND2P32	MT-ND2	801103811	801105593	801103889	801104930	1782	1041	1041	0.584175084175084	1
MTND2P32	MT-ND2	801200000	801200382	801200000	801200402	382	402	382	1	0.950248756218905
NA	MT-ND5	801300153	801301276	801300000	801300212	1123	212	59	0.0525378450578807	0.278301886792453
NA	MT-ND6	801300153	801301276	801300213	801300737	1123	524	524	0.466607301869991	1
NA	MT-TE	801300153	801301276	801300738	801300806	1123	68	68	0.0605520926090828	1
NA	MT-CYB	801300153	801301276	801300811	801301951	1123	1140	465	0.41406945681211	0.407894736842105
MTND6P19	MT-CYB	801301350	801301873	801300811	801301951	523	1140	523	1	0.458771929824561
NA	MT-CYB	801301881	801302086	801300811	801301951	205	1140	70	0.341463414634146	0.0614035087719298
NA	MT-TT	801301881	801302086	801301952	801302017	205	65	65	0.317073170731707	1
NA	MT-TP	801301881	801302086	801302020	801302087	205	67	66	0.321951219512195	0.985074626865672
MTND1P7	MT-ND1	801700000	801701171	801700000	801700016	1171	16	16	0.013663535439795	1
MTND1P7	MT-TI	801700000	801701171	801700017	801700085	1171	68	68	0.0580700256191289	1
MTND1P7	MT-TQ	801700000	801701171	801700083	801700154	1171	71	71	0.0606319385140905	1
MTND1P7	MT-TM	801700000	801701171	801700156	801700223	1171	67	67	0.0572160546541418	1
MTND1P7	MT-ND2	801700000	801701171	801700224	801701265	1171	1041	947	0.808710503842869	0.909702209414025
MTND1P7	MT-RNR1	801800000	801800207	801800000	801800945	207	945	207	1	0.219047619047619
RNU6-656P	MT-ND1	801802848	801802954	801802651	801803606	106	955	106	1	0.110994764397906
NA	MT-CYB	802000708	802001836	802000323	802001463	1128	1140	755	0.669326241134752	0.662280701754386
NA	MT-TT	802000708	802001836	802001464	802001529	1128	65	65	0.0576241134751773	1
NA	MT-TP	802000708	802001836	802001532	802001599	1128	67	67	0.0593971631205674	1
MTND1P5	MT-ND1	803600886	803601825	803600862	803601817	939	955	931	0.991480298189563	0.974869109947644
MTND1P5	MT-TI	803600886	803601825	803601818	803601886	939	68	7	0.00745473908413206	0.102941176470588
NA	MT-CO1	803800381	803802256	803800388	803801929	1875	1541	1541	0.821866666666667	1
NA	MT-CO1	803900000	803901245	803900000	803901351	1245	1351	1245	1	0.921539600296077
NA	MT-ND2	804100019	804101289	804100000	804100422	1270	422	403	0.317322834645669	0.954976303317536
NA	MT-TW	804100019	804101289	804100423	804100490	1270	67	67	0.052755905511811	1
NA	MT-TA	804100019	804101289	804100498	804100566	1270	68	68	0.0535433070866142	1
NA	MT-TN	804100019	804101289	804100568	804100640	1270	72	72	0.0566929133858268	1
NA	MT-TC	804100019	804101289	804100672	804100737	1270	65	65	0.0511811023622047	1
NA	MT-TY	804100019	804101289	804100737	804100802	1270	65	65	0.0511811023622047	1
NA	MT-CO1	804100019	804101289	804100815	804102356	1270	1541	474	0.373228346456693	0.307592472420506
MTND2P7	MT-ND2	804600004	804600643	804600000	804600647	639	647	639	1	0.987635239567233
NA	MT-CO1	804601038	804601839	804601040	804602581	801	1541	799	0.997503121098627	0.518494484101233
MTND6P5	MT-ND5	900100026	900100537	900100000	900100444	511	444	418	0.818003913894325	0.941441441441441
MTND6P5	MT-ND6	900100026	900100537	900100445	900100969	511	524	92	0.180039138943249	0.175572519083969
MTND1P11	MT-ND1	900202052	900202927	900202021	900202976	875	955	875	1	0.916230366492147
NA	MT-TY	900204579	900206106	900204540	900204605	1527	65	26	0.0170268500327439	0.4
NA	MT-CO1	900204579	900206106	900204618	900206159	1527	1541	1488	0.974459724950884	0.965606748864374
NA	MT-TD	900206254	900207238	900206232	900206299	984	67	45	0.0457317073170732	0.671641791044776
NA	MT-CO2	900206254	900207238	900206300	900206983	984	683	683	0.694105691056911	1
NA	MT-CO2	900300000	900300329	900300000	900300337	329	337	329	1	0.976261127596439
NA	MT-ATP8	900300564	900301233	900300434	900300640	669	206	76	0.113602391629297	0.368932038834951
NA	MT-ATP6	900300564	900301233	900300595	900301275	669	680	638	0.953662182361734	0.938235294117647
NA	MT-ATP6	900301240	900302013	900300595	900301275	773	680	35	0.0452781371280724	0.0514705882352941
NA	MT-CO3	900301240	900302013	900301275	900302058	773	783	738	0.954721862871928	0.942528735632184
MTND4P14	MT-ND4	900400891	900402244	900400879	900402256	1353	1377	1353	1	0.982570806100218
MTND5P14	MT-TL2	900402450	900403716	900402385	900402455	1266	70	5	0.00394944707740916	0.0714285714285714
MTND5P14	MT-ND5	900402450	900403716	900402456	900404267	1266	1811	1260	0.995260663507109	0.695748205411375
MTND1P12	MT-ND1	901100000	901100148	901100000	901100514	148	514	148	1	0.287937743190661
NA	MT-ND1	901400000	901400197	901400000	901400514	197	514	197	1	0.383268482490272
MTND2P8	MT-ND2	901700709	901701733	901700074	901701115	1024	1041	406	0.396484375	0.390009606147935
MTND2P8	MT-TW	901700709	901701733	901701116	901701183	1024	67	67	0.0654296875	1
MTND2P8	MT-TA	901700709	901701733	901701191	901701259	1024	68	68	0.06640625	1
MTND2P8	MT-TN	901700709	901701733	901701261	901701333	1024	72	72	0.0703125	1
MTND2P8	MT-TC	901700709	901701733	901701365	901701430	1024	65	65	0.0634765625	1
MTND2P8	MT-TY	901700709	901701733	901701430	901701495	1024	65	65	0.0634765625	1
MTND2P8	MT-CO1	901700709	901701733	901701508	901703049	1024	1541	225	0.2197265625	0.146009085009734
NA	MT-ND2	902200017	902201076	902200000	902200898	1059	898	881	0.831916902738432	0.981069042316258
NA	MT-TW	902200017	902201076	902200899	902200966	1059	67	67	0.0632672332389046	1
NA	MT-TA	902200017	902201076	902200974	902201042	1059	68	68	0.0642115203021719	1
NA	MT-TN	902200017	902201076	902201044	902201116	1059	72	32	0.0302171860245515	0.444444444444444
MTND2P9	MT-CO1	902201478	902202408	902201291	902202832	930	1541	930	1	0.603504218040234
NA	MT-ATP6	902300003	902300678	902300000	902300098	675	98	95	0.140740740740741	0.969387755102041
NA	MT-CO3	902300003	902300678	902300098	902300881	675	783	580	0.859259259259259	0.740740740740741
NA	MT-ATP6	902500000	902500071	902500000	902500098	71	98	71	1	0.724489795918367
NA	MT-ATP6	902500095	902501177	902500000	902500098	1082	98	3	0.00277264325323475	0.0306122448979592
NA	MT-CO3	902500095	902501177	902500098	902500881	1082	783	783	0.72365988909427	1
NA	MT-CO3	902600000	902600109	902600000	902600110	109	110	109	1	0.990909090909091
NA	MT-ND3	902600182	902600528	902600179	902600524	346	345	342	0.988439306358382	0.991304347826087
NA	MT-TR	902600182	902600528	902600525	902600589	346	64	3	0.00867052023121387	0.046875
NA	MT-TR	902600589	902600882	902600525	902600589	293	64	0	0	0
NA	MT-ND4L	902600589	902600882	902600590	902600886	293	296	292	0.996587030716723	0.986486486486487
NA	MT-ND4	902600589	902600882	902600880	902602257	293	1377	2	0.0068259385665529	0.00145243282498184
MTND4P15	MT-ND4L	902600879	902601911	902600590	902600886	1032	296	7	0.00678294573643411	0.0236486486486486
MTND4P15	MT-ND4	902600879	902601911	902600880	902602257	1032	1377	1031	0.999031007751938	0.748729121278141
NA	MT-ND2	902700000	902700121	902700000	902700084	121	84	84	0.694214876033058	1
NA	MT-TW	902700000	902700121	902700085	902700152	121	67	36	0.297520661157025	0.537313432835821
MTND3P4	MT-ND3	902900000	902900302	902900121	902900466	302	345	181	0.599337748344371	0.52463768115942
MTND3P4	MT-CO3	902900000	902900302	902900000	902900052	302	52	52	0.172185430463576	1
MTND3P4	MT-TG	902900000	902900302	902900053	902900120	302	67	67	0.221854304635762	1
NA	MT-ND5	903000007	903000189	9.03e+08	903000312	182	312	182	1	0.583333333333333
MTND2P11	MT-ND2	903100000	903100943	903100000	903100647	943	647	647	0.68610816542948	1
MTND2P11	MT-ND2	903200000	903200308	903200000	903200342	308	342	308	1	0.900584795321637
MTND2P16	MT-ND2	1000400305	1000401103	1000400283	1000401324	798	1041	798	1	0.76657060518732
MTND1P21	MT-ND1	1000500003	1000500287	1000500000	1000500586	284	586	284	1	0.484641638225256
NA	MT-CO3	1000600004	1000600189	1000600000	1000600367	185	367	185	1	0.50408719346049
MTND5P17	MT-ND4	1001300006	1001301608	1001300000	1001300480	1602	480	474	0.295880149812734	0.9875
MTND5P17	MT-TH	1001300006	1001301608	1001300481	1001300549	1602	68	68	0.0424469413233458	1
MTND5P17	MT-TS2	1001300006	1001301608	1001300550	1001300608	1602	58	58	0.0362047440699126	1
MTND5P17	MT-TL2	1001300006	1001301608	1001300609	1001300679	1602	70	70	0.0436953807740325	1
MTND5P17	MT-ND5	1001300006	1001301608	1001300680	1001302491	1602	1811	928	0.579275905118602	0.512424075096632
MTND4P18	MT-ND5	1001301834	1001302298	1001300680	1001302491	464	1811	464	1	0.256212037548316
MTND1P18	MT-RNR2	1001400000	1001400571	1001400000	1001401528	571	1528	571	1	0.37369109947644
MTRNR2L7	MT-RNR2	1001400641	1001402134	1001400000	1001401528	1493	1528	887	0.59410582719357	0.580497382198953
MTRNR2L7	MT-TL1	1001400641	1001402134	1001401529	1001401603	1493	74	74	0.0495646349631614	1
MTRNR2L7	MT-ND1	1001400641	1001402134	1001401606	1001402561	1493	955	528	0.3536503683858	0.552879581151832
MTRNR2L5	MT-RNR2	1002001172	1002002910	1002001094	1002002652	1738	1558	1480	0.851553509781358	0.949935815147625
MTRNR2L5	MT-RNR2	1002100000	1002100355	1002100000	1002100428	355	428	355	1	0.829439252336449
NA	MT-ND2	1002300001	1002300476	1002300000	1002300039	475	39	38	0.08	0.974358974358974
NA	MT-TW	1002300001	1002300476	1002300040	1002300107	475	67	67	0.141052631578947	1
NA	MT-TA	1002300001	1002300476	1002300115	1002300183	475	68	68	0.143157894736842	1
NA	MT-TN	1002300001	1002300476	1002300185	1002300257	475	72	72	0.151578947368421	1
NA	MT-TC	1002300001	1002300476	1002300289	1002300354	475	65	65	0.136842105263158	1
NA	MT-TY	1002300001	1002300476	1002300354	1002300419	475	65	65	0.136842105263158	1
NA	MT-CO1	1002300001	1002300476	1002300432	1002301973	475	1541	44	0.0926315789473684	0.0285528877352369
NA	MT-CO1	1002300704	1002301383	1002300432	1002301973	679	1541	679	1	0.440622972096042
NA	MT-CO1	1002301527	1002303052	1002300432	1002301973	1525	1541	446	0.292459016393443	0.289422452952628
NA	MT-TS1	1002301527	1002303052	1002301974	1002302042	1525	68	68	0.0445901639344262	1
NA	MT-TD	1002301527	1002303052	1002302046	1002302113	1525	67	67	0.0439344262295082	1
NA	MT-CO2	1002301527	1002303052	1002302114	1002302797	1525	683	683	0.447868852459016	1
NA	MT-TK	1002301527	1002303052	1002302823	1002302892	1525	69	69	0.0452459016393443	1
NA	MT-ATP8	1002301527	1002303052	1002302894	1002303100	1525	206	158	0.103606557377049	0.766990291262136
MTND2P15	MT-ND2	1002400022	1002400913	1002400000	1002401008	891	1008	891	1	0.883928571428571
MTND1P20	MT-ND1	1002500229	1002501178	1002500014	1002500969	949	955	740	0.779768177028451	0.774869109947644
MTND1P20	MT-TI	1002500229	1002501178	1002500970	1002501038	949	68	68	0.071654373024236	1
MTND1P20	MT-TQ	1002500229	1002501178	1002501036	1002501107	949	71	71	0.0748155953635406	1
MTND1P20	MT-TM	1002500229	1002501178	1002501109	1002501176	949	67	67	0.0706006322444679	1
MTND1P20	MT-ND2	1002500229	1002501178	1002501177	1002502218	949	1041	1	0.00105374077976818	0.000960614793467819
MTND4P19	MT-ND4	1002800000	1002800461	1002800000	1002800828	461	828	461	1	0.556763285024155
MTND4P20	MT-ND4	1002900000	1002900862	1002900000	1002900828	862	828	828	0.960556844547564	1
MTND4P20	MT-TH	1002900000	1002900862	1002900829	1002900897	862	68	33	0.0382830626450116	0.485294117647059
MIR4484	MT-TC	1003400000	1003400024	1003400017	1003400082	24	65	7	0.291666666666667	0.107692307692308
MTRNR2L8	MT-TV	1100200000	1100201289	1100201025	1100201093	1289	68	68	0.0527540729247479	1
MTRNR2L8	MT-RNR2	1100200000	1100201289	1100201094	1100202652	1289	1558	195	0.151280062063615	0.125160462130937
MTRNR2L8	MT-TF	1100200000	1100201289	1100200000	1100200070	1289	70	70	0.0543056633048875	1
MTRNR2L8	MT-RNR1	1100200000	1100201289	1100200071	1100201024	1289	953	953	0.73933281613654	1
NA	MT-CO1	1101300000	1101300159	1101300000	1101300803	159	803	159	1	0.198007471980075
NA	MT-ND4L	1101700652	1101700942	1101700650	1101700946	290	296	290	1	0.97972972972973
NA	MT-ND4	1101700652	1101700942	1101700940	1101702317	290	1377	2	0.00689655172413793	0.00145243282498184
NA	MT-ND6	1101704336	1101704851	1101704329	1101704853	515	524	515	1	0.982824427480916
NA	MT-ND6	1102000002	1102001124	1.102e+09	1102000259	1122	259	257	0.229055258467023	0.992277992277992
NA	MT-TE	1102000002	1102001124	1102000260	1102000328	1122	68	68	0.0606060606060606	1
NA	MT-CYB	1102000002	1102001124	1102000333	1102001473	1122	1140	791	0.704991087344028	0.693859649122807
NA	MT-CYB	1102001191	1102001491	1102000333	1102001473	300	1140	282	0.94	0.247368421052632
MTND1P35	MT-ND1	1102100000	1102100506	1102100000	1102100881	506	881	506	1	0.574347332576618
NA	MT-RNR2	1102400000	1102400570	1102400000	1102401172	570	1172	570	1	0.486348122866894
NA	MT-RNR2	1102400572	1102401406	1102400000	1102401172	834	1172	600	0.719424460431655	0.511945392491468
NA	MT-TL1	1102400572	1102401406	1102401173	1102401247	834	74	74	0.0887290167865707	1
NA	MT-ND1	1102400572	1102401406	1102401250	1102402205	834	955	156	0.18705035971223	0.163350785340314
NA	MT-ND1	1102401496	1102402151	1102401250	1102402205	655	955	655	1	0.68586387434555
NA	MT-TQ	1102402293	1102403818	1102402272	1102402343	1525	71	50	0.0327868852459016	0.704225352112676
NA	MT-TM	1102402293	1102403818	1102402345	1102402412	1525	67	67	0.0439344262295082	1
NA	MT-ND2	1102402293	1102403818	1102402413	1102403454	1525	1041	1041	0.682622950819672	1
NA	MT-TW	1102402293	1102403818	1102403455	1102403522	1525	67	67	0.0439344262295082	1
NA	MT-TA	1102402293	1102403818	1102403530	1102403598	1525	68	68	0.0445901639344262	1
NA	MT-TN	1102402293	1102403818	1102403600	1102403672	1525	72	72	0.0472131147540984	1
NA	MT-TC	1102402293	1102403818	1102403704	1102403769	1525	65	65	0.0426229508196721	1
NA	MT-TY	1102402293	1102403818	1102403769	1102403834	1525	65	49	0.0321311475409836	0.753846153846154
MTND2P26	MT-CO1	1102404197	1102405225	1102403847	1102405388	1028	1541	1028	1	0.667099286177807
MTND1P36	MT-TS1	1102405425	1102406360	1102405389	1102405457	935	68	32	0.0342245989304813	0.470588235294118
MTND1P36	MT-TD	1102405425	1102406360	1102405461	1102405528	935	67	67	0.0716577540106952	1
MTND1P36	MT-CO2	1102405425	1102406360	1102405529	1102406212	935	683	683	0.73048128342246	1
MTND1P36	MT-TK	1102405425	1102406360	1102406238	1102406307	935	69	69	0.0737967914438503	1
MTND1P36	MT-ATP8	1102405425	1102406360	1102406309	1102406515	935	206	51	0.0545454545454545	0.247572815533981
NA	MT-CYB	1102600002	1102600185	1102600000	1102600435	183	435	183	1	0.420689655172414
NA	MT-CO1	1200900000	1200900221	1200900000	1200901309	221	1309	221	1	0.168831168831169
NA	MT-CO1	1201300000	1201300373	1201300000	1201300806	373	806	373	1	0.462779156327543
MTND2P17	MT-ND1	1201500000	1201500624	1201500000	1201500886	624	886	624	1	0.704288939051919
MTND1P24	MT-ND1	1201500833	1201501693	1201500000	1201500886	860	886	53	0.0616279069767442	0.0598194130925508
MTND1P24	MT-TI	1201500833	1201501693	1201500887	1201500955	860	68	68	0.0790697674418605	1
MTND1P24	MT-TQ	1201500833	1201501693	1201500953	1201501024	860	71	71	0.0825581395348837	1
MTND1P24	MT-TM	1201500833	1201501693	1201501026	1201501093	860	67	67	0.077906976744186	1
MTND1P24	MT-ND2	1201500833	1201501693	1201501094	1201502135	860	1041	599	0.696511627906977	0.575408261287224
MTND3P1	MT-ND3	1300100000	1300100149	1300100000	1300100320	149	320	149	1	0.465625
MTCO3P2	MT-CO3	1300300000	1300300170	1300300000	1300300636	170	636	170	1	0.267295597484277
MTCO2P3	MT-CO2	1301200000	1301200418	1301200000	1301200454	418	454	418	1	0.920704845814978
MTND4P1	MT-ND4	1301400000	1301401312	1301400000	1301401231	1312	1231	1231	0.938262195121951	1
MTND4P1	MT-TH	1301400000	1301401312	1301401232	1301401300	1312	68	68	0.0518292682926829	1
MTND4P1	MT-TS2	1301400000	1301401312	1301401301	1301401359	1312	58	11	0.00838414634146342	0.189655172413793
MTND5P3	MT-ND5	1301401469	1301403659	1301401431	1301403242	2190	1811	1773	0.80958904109589	0.979017117614578
MTND5P3	MT-ND5	1301500000	1301501358	1301500000	1301501361	1358	1361	1358	1	0.997795738427627
MTND5P2	MT-ND5	1301700000	1301701431	1301700000	1301701097	1431	1097	1097	0.76659678546471	1
MTND5P2	MT-ND5	1301800000	1301800850	1301800000	1301800821	850	821	821	0.965882352941177	1
MTND5P2	MT-ND6	1301800000	1301800850	1301800822	1301801346	850	524	28	0.0329411764705882	0.0534351145038168
MTND6P18	MT-ND6	1301800861	1301801373	1301800822	1301801346	512	524	485	0.947265625	0.925572519083969
MTND6P18	MT-TE	1301800861	1301801373	1301801347	1301801415	512	68	26	0.05078125	0.382352941176471
MTCYBP3	MT-CYB	1301801447	1301802583	1301801420	1301802560	1136	1140	1113	0.979753521126761	0.976315789473684
MTCYBP3	MT-TT	1301801447	1301802583	1301802561	1301802626	1136	65	22	0.0193661971830986	0.338461538461538
NA	MT-TA	1400200000	1400200702	1400200004	1400200072	702	68	68	0.0968660968660969	1
NA	MT-TN	1400200000	1400200702	1400200074	1400200146	702	72	72	0.102564102564103	1
NA	MT-TC	1400200000	1400200702	1400200178	1400200243	702	65	65	0.0925925925925926	1
NA	MT-TY	1400200000	1400200702	1400200243	1400200308	702	65	65	0.0925925925925926	1
NA	MT-CO1	1400200000	1400200702	1400200321	1400201862	702	1541	381	0.542735042735043	0.247242050616483
NA	MT-ND4	1400600000	1400600763	1400600000	1400600770	763	770	763	1	0.990909090909091
NA	MT-TL2	1400600948	1400602667	1400600899	1400600969	1719	70	21	0.012216404886562	0.3
NA	MT-ND5	1400700000	1400701706	1400700000	1400701721	1706	1721	1706	1	0.991284137129576
NA	MT-CYB	1400800410	1400801079	1400800414	1400801554	669	1140	665	0.994020926756353	0.583333333333333
NA	MT-ATP6	1400900000	1400900112	1400900000	1400900489	112	489	112	1	0.229038854805726
NA	MT-CO3	1500100000	1500100337	1500100000	1500100336	337	336	336	0.997032640949555	1
NA	MT-TG	1500100000	1500100337	1500100337	1500100404	337	67	0	0	0
NA	MT-ND1	1500300000	1500300202	1500300000	1500300463	202	463	202	1	0.436285097192225
NA	MT-ND4	1500500000	1500501444	1500500000	1500500453	1444	453	453	0.313711911357341	1
NA	MT-TH	1500500000	1500501444	1500500454	1500500522	1444	68	68	0.0470914127423823	1
NA	MT-TS2	1500500000	1500501444	1500500523	1500500581	1444	58	58	0.0401662049861496	1
NA	MT-TL2	1500500000	1500501444	1500500582	1500500652	1444	70	70	0.0484764542936288	1
NA	MT-ND5	1500500000	1500501444	1500500653	1500502464	1444	1811	791	0.547783933518006	0.43677526228603
NA	MT-ND5	1500700000	1500700208	1500700000	1500701168	208	1168	208	1	0.178082191780822
NA	MT-CO3	1.501e+09	1501000267	1.501e+09	1501000270	267	270	267	1	0.988888888888889
NA	MT-ND3	1501000339	1501000666	1501000339	1501000684	327	345	327	1	0.947826086956522
NA	MT-TR	1501000737	1501002217	1501000685	1501000749	1480	64	12	0.00810810810810811	0.1875
NA	MT-ND4L	1501000737	1501002217	1501000750	1501001046	1480	296	296	0.2	1
NA	MT-ND4	1501000737	1501002217	1501001040	1501002417	1480	1377	1177	0.79527027027027	0.854756717501816
NA	MT-ND4	1501100000	1501100909	1501100000	1501100909	909	909	909	1	1
NA	MT-TS2	1501101002	1501102803	1501100979	1501101037	1801	58	35	0.0194336479733481	0.603448275862069
NA	MT-ND5	1501200000	1501201675	1501200000	1501201683	1675	1683	1675	1	0.995246583481878
NA	MT-TE	1501202228	1501203329	1501202209	1501202277	1101	68	49	0.0445049954586739	0.720588235294118
NA	MT-CYB	1501202228	1501203329	1501202282	1501203422	1101	1140	1047	0.950953678474114	0.918421052631579
NA	MT-CO1	1600100236	1600101763	1600100049	1600101590	1527	1541	1354	0.886705959397512	0.878650227125243
NA	MT-TS1	1600100236	1600101763	1600101591	1600101659	1527	68	68	0.0445317616240995	1
NA	MT-TD	1600100236	1600101763	1600101663	1600101730	1527	67	67	0.0438768827766863	1
NA	MT-CO2	1600100236	1600101763	1600101731	1600102414	1527	683	32	0.0209561231172233	0.0468521229868228
NA	MT-RNR2	1600200339	1600201288	1600200000	1600200406	949	406	67	0.0706006322444679	0.165024630541872
NA	MT-TL1	1600200339	1600201288	1600200407	1600200481	949	74	74	0.0779768177028451	1
NA	MT-ND1	1600200339	1600201288	1600200484	1600201439	949	955	804	0.847207586933614	0.841884816753927
MTRNR2L4	MT-ND1	1600201435	1600202665	1600200484	1600201439	1230	955	4	0.0032520325203252	0.00418848167539267
MTRNR2L4	MT-TI	1600201435	1600202665	1600201440	1600201508	1230	68	68	0.0552845528455285	1
MTRNR2L4	MT-TQ	1600201435	1600202665	1600201506	1600201577	1230	71	71	0.0577235772357724	1
MTRNR2L4	MT-TM	1600201435	1600202665	1600201579	1600201646	1230	67	67	0.0544715447154472	1
MTRNR2L4	MT-ND2	1600201435	1600202665	1600201647	1600202688	1230	1041	1018	0.827642276422764	0.97790585975024
MTRNR2L4	MT-RNR2	1600300000	1600300567	1600300000	1600301034	567	1034	567	1	0.548355899419729
NA	MT-ND6	1600600150	1600601279	1600600000	1600600181	1129	181	31	0.0274579273693534	0.171270718232044
NA	MT-TE	1600600150	1600601279	1600600182	1600600250	1129	68	68	0.0602302922940655	1
NA	MT-CYB	1600600150	1600601279	1600600255	1600601395	1129	1140	1024	0.906997342781222	0.898245614035088
NA	MT-CYB	1600601350	1600601532	1600600255	1600601395	182	1140	45	0.247252747252747	0.0394736842105263
NA	MT-TT	1600601350	1600601532	1600601396	1600601461	182	65	65	0.357142857142857	1
NA	MT-TP	1600601350	1600601532	1600601464	1600601531	182	67	67	0.368131868131868	1
NA	MT-ATP8	1600700000	1600701378	1600700000	1600700067	1378	67	67	0.0486211901306241	1
NA	MT-ATP6	1600700000	1600701378	1600700022	1600700702	1378	680	680	0.493468795355588	1
NA	MT-CO3	1600700000	1600701378	1600700702	1600701485	1378	783	676	0.490566037735849	0.863346104725415
NA	MT-ND3	1600701612	1600702982	1600701554	1600701899	1370	345	287	0.209489051094891	0.831884057971015
NA	MT-TR	1600701612	1600702982	1600701900	1600701964	1370	64	64	0.0467153284671533	1
NA	MT-ND4L	1600701612	1600702982	1600701965	1600702261	1370	296	296	0.216058394160584	1
NA	MT-ND4	1600701612	1600702982	1600702255	1600703632	1370	1377	727	0.530656934306569	0.5279593318809
NA	MT-ND4	1600702979	1600703269	1600702255	1600703632	290	1377	290	1	0.210602759622367
NA	MT-ND4	1600703338	1600703680	1600702255	1600703632	342	1377	294	0.859649122807018	0.213507625272331
NA	MT-TH	1600703338	1600703680	1600703633	1600703701	342	68	47	0.137426900584795	0.691176470588235
NA	MT-TS2	1600703750	1600704531	1600703702	1600703760	781	58	10	0.0128040973111396	0.172413793103448
NA	MT-TL2	1600703750	1600704531	1600703761	1600703831	781	70	70	0.089628681177977	1
NA	MT-ND5	1600703750	1600704531	1600703832	1600705643	781	1811	699	0.895006402048656	0.385974599668691
NA	MT-ND5	1600704534	1600705210	1600703832	1600705643	676	1811	676	1	0.373274434014357
NA	MT-TR	1.601e+09	1601000129	1.601e+09	1601000011	129	11	11	0.0852713178294574	1
NA	MT-ND4L	1.601e+09	1601000129	1601000012	1601000308	129	296	117	0.906976744186046	0.39527027027027
NA	MT-ND5	1601400149	1601401280	1601400000	1601400244	1131	244	95	0.0839964633068081	0.389344262295082
NA	MT-ND6	1601400149	1601401280	1601400245	1601400769	1131	524	524	0.463306808134394	1
NA	MT-TE	1601400149	1601401280	1601400770	1601400838	1131	68	68	0.0601237842617153	1
